--- Process Snapshot at 2026-02-27T15:39:44.856992 ---
PID        NAME                           STATUS         
6768       MsSense.exe                    running        
6776       CptService.exe                 running        
6800       svchost.exe                    running        
6812       lghub_updater.exe              running        
6852       SenseNdr.exe                   running        
6900       LMS.exe                        running        
7148       svchost.exe                    running        
7372       conhost.exe                    running        
7488       DPM.exe                        running        
7676       msedgewebview2.exe             running        
7752       svchost.exe                    running        
7792       chrome.exe                     running        
7800       CcmExec.exe                    running        
7916       WmiPrvSE.exe                   running        
8004       ServiceShell.exe               running        
8096       DPMCrashHandler.exe            running        
8144       svchost.exe                    running        
8224       chrome.exe                     running        
8872       WmiPrvSE.exe                   running        
8916       svchost.exe                    running        
9084       LockApp.exe                    stopped        
9144       Code.exe                       running        
9288       svchost.exe                    running        
9464       SystemSettings.exe             stopped        
9616       explorer.exe                   running        
9656       chrome.exe                     running        
9676       IntelGraphicsSoftware.Service.exe running        
9712       msedgewebview2.exe             running        
9752       chrome.exe                     running        
9812       AggregatorHost.exe             running        
9864       conhost.exe                    running        
9952       NVDisplay.Container.exe        running        
9968       svchost.exe                    running        
10032      PresentMonService.exe          running        
10200      chrome.exe                     running        
10332      SenseTVM.exe                   running        
10640      NisSrv.exe                     running        
10808      svchost.exe                    running        
11280      lghub_agent.exe                running        
11452      nvWmi64.exe                    running        
11632      chrome.exe                     running        
11692      chrome.exe                     running        
11740      chrome.exe                     running        
11772      DPMCrashHandler.exe            running        
11900      conhost.exe                    running        
12068      Dell.CoreServices.Client.exe   running        
12072      Dell.TechHub.Analytics.SubAgent.exe running        
12084      Dell.UCA.Manager.exe           running        
12132      conhost.exe                    running        
12136      Dell.TechHub.Instrumentation.SubAgent.exe running        
12148      conhost.exe                    running        
12284      svchost.exe                    running        
12384      chrome.exe                     running        
12432      svchost.exe                    running        
12628      powershell.exe                 running        
12640      svchost.exe                    running        
12972      svchost.exe                    running        
13020      svchost.exe                    running        
13032      python.exe                     running        
13188      Dell.TechHub.Instrumentation.UserProcess.exe running        
13280      chrome.exe                     running        
13428      ctfmon.exe                     running        
13464      WmiApSrv.exe                   running        
13476      chrome.exe                     running        
13528      DDPM.Subagent.User.exe         running        
13560      chrome.exe                     running        
13700      WmiPrvSE.exe                   running        
13728      TextInputHost.exe              running        
13828      svchost.exe                    running        
13848      svchost.exe                    running        
13924      svchost.exe                    running        
13980      WmiPrvSE.exe                   running        
14092      WhatsApp.Root.exe              running        
14416      svchost.exe                    running        
14552      chrome.exe                     running        
14672      BraveCrashHandler64.exe        running        
14708      powershell.exe                 running        
14744      taskhostw.exe                  running        
14800      WmiPrvSE.exe                   running        
14812      svchost.exe                    running        
15152      dllhost.exe                    running        
15156      chrome.exe                     running        
15344      chrome.exe                     running        
15376      CloudCompare.exe               running        
15420      svchost.exe                    running        
15560      lghub_system_tray.exe          running        
15612      python.exe                     running        
15680      svchost.exe                    running        
15696      OfficeClickToRun.exe           running        
15804      rsession-utf8.exe              running        
15988      WavesSvc64.exe                 running        
16192      msedgewebview2.exe             running        
16440      svchost.exe                    running        
16540      svchost.exe                    running        
16672      LocationNotificationWindows.exe running        
16980      OneDrive.Sync.Service.exe      running        
16984      SecurityHealthService.exe      running        
17000      Code.exe                       running        
17344      svchost.exe                    running        
17396      msedgewebview2.exe             running        
17464      SearchHost.exe                 stopped        
17492      StartMenuExperienceHost.exe    running        
17620      RuntimeBroker.exe              running        
17680      Widgets.exe                    running        
17708      RtkAudUService64.exe           running        
17728      RuntimeBroker.exe              running        
17876      svchost.exe                    running        
18428      WidgetService.exe              running        
18692      ShellExperienceHost.exe        stopped        
18704      rstudio.exe                    running        
18764      chrome.exe                     running        
18808      SystemSettingsBroker.exe       running        
19068      chrome.exe                     running        
19160      RuntimeBroker.exe              running        
19452      ApplicationFrameHost.exe       running        
19536      conhost.exe                    running        
19576      dllhost.exe                    running        
19900      chrome.exe                     running        
20056      svchost.exe                    running        
20204      RuntimeBroker.exe              running        
20660      chrome.exe                     running        
20748      chrome.exe                     running        
20756      svchost.exe                    running        
20780      chrome.exe                     running        
20920      chrome.exe                     running        
21036      SecurityHealthSystray.exe      running        
21112      UserOOBEBroker.exe             running        
21128      chrome.exe                     running        
21172      chrome.exe                     running        
21276      WindowsTerminal.exe            running        
21300      chrome.exe                     running        
21340      chrome.exe                     running        
21380      chrome.exe                     running        
21536      msedgewebview2.exe             running        
21664      chrome.exe                     running        
21676      chrome.exe                     running        
21772      csc_ui.exe                     running        
21932      chrome.exe                     running        
22036      svchost.exe                    running        
22048      dllhost.exe                    running        
22816      chrome.exe                     running        
23012      rstudio.exe                    running        
23048      msedgewebview2.exe             running        
23128      dllhost.exe                    running        
23240      chrome.exe                     running        
23268      chrome.exe                     running        
23388      chrome.exe                     running        
23468      chrome.exe                     running        
23728      chrome.exe                     running        
23736      chrome.exe                     running        
24104      rstudio.exe                    running        
24144      svchost.exe                    running        
24824      chrome.exe                     running        
24948      chrome.exe                     running        
25288      rstudio.exe                    running        
25364      Code.exe                       running        
25396      pet.exe                        running        
25464      RuntimeBroker.exe              running        
25528      conhost.exe                    running        
25556      Code.exe                       running        
25640      chrome.exe                     running        
25964      chrome.exe                     running        
26164      dllhost.exe                    running        
26388      AdobeCollabSync.exe            running        
26440      chrome.exe                     running        
26568      chrome.exe                     running        
27556      Taskmgr.exe                    running        
28296      chrome.exe                     running        
28408      conhost.exe                    running        
28792      svchost.exe                    running        
28796      OpenConsole.exe                running        
28896      chrome.exe                     running        
28900      Code.exe                       running        
29396      Code.exe                       running        
29452      chrome.exe                     running        
29540      chrome.exe                     running        
29740      chrome.exe                     running        
30036      DataExchangeHost.exe           running        
30080      conhost.exe                    running        
30732      svchost.exe                    running        
30776      conhost.exe                    running        
30836      Code.exe                       running        
31624      chrome.exe                     running        
31636      Code.exe                       running        
